Player,Pos,Age,Height,FG,3P,FT,TRB,AST,STL,BLK,PTS
Glenn Robinson,SF,25,78,0.42,0.29,0.8,4.2,1.2,0.8,0.5,11.7
Goran Dragi?,PG,32,75,0.413,0.348,0.782,4,6.3,1.1,0.2,17.9
Gordon Hayward,PF,28,80,0.466,0.333,0.834,6.2,4.7,1.2,0.4,15.9
Gorgui Dieng,C,29,83,0.501,0.339,0.83,10.9,2.5,1.7,1.4,16.9
Grayson Allen,SG,23,77,0.376,0.323,0.75,2,2.2,0.5,0.5,18.3
Greg Monroe,C,28,83,0.487,0.2,0.625,12.9,1.8,1,0.6,17.2
Guerschon Yabusele,PF,23,80,0.455,0.321,0.682,7.6,2.2,1.1,1,13.5
Hamidou Diallo,SG,20,77,0.455,0.167,0.61,6.6,1.2,1.4,0.7,13
Harrison Barnes,PF-SF,26,80,0.42,0.395,0.824,5.1,1.6,0.7,0.2,18
Harry Giles,PF,20,82,0.503,0,0.637,9.7,3.7,1.4,1,17.9
Hassan Whiteside,C,29,84,0.571,0.125,0.449,17.6,1.2,1,2.9,19.1
Haywood Highsmith,SF,22,79,0.4,0.2,0,4.5,1.8,0.9,0,8.1
Henry Ellenson,PF,22,83,0.411,0.447,0.76,9.2,2.2,1,0.3,15.8
Ian Clark,SG,27,75,0.394,0.327,0.892,3.3,3.5,0.8,0.3,14.8
Ian Mahinmi,C,32,83,0.452,0.188,0.689,9.3,1.8,1.8,1.2,10
Ike Anigbogu,C,20,82,0,0,,18,6,0,6,0
Iman Shumpert,SG,28,77,0.374,0.348,0.8,4.4,2.7,1.4,0.6,11.3
Isaac Bonga,PG,19,80,0.152,0,0.6,7.5,4.5,2.7,1.2,5.7
Isaac Humphries,C,21,84,0.286,0.273,,7.1,0,0.6,0,9.6
Isaiah Briscoe,PG,22,75,0.399,0.324,0.577,4.8,5.6,0.7,0.1,8.8
Isaiah Canaan,PG,27,72,0.39,0.354,0.792,3.3,4.8,0.8,0.1,10.4
Isaiah Hartenstein,PF,20,84,0.488,0.333,0.786,7.7,2.4,1.1,2,8.6
Isaiah Hicks,PF,24,81,0.5,0,0.8,7.9,2.3,1.1,3.4,13.5
Isaiah Thomas,SG,29,69,0.343,0.279,0.63,2.6,4.6,1,0.2,19.3
Ish Smith,PG,30,72,0.419,0.326,0.758,4.2,5.8,0.8,0.3,14.4
Ivan Rabb,PF,21,82,0.547,0.2,0.71,10.3,2.7,0.8,0.7,14.2
Ivica Zubac,C,21,85,0.559,0,0.802,12.5,2.2,0.5,1.8,18.2
J.J. Barea,PG,34,72,0.418,0.297,0.705,4.5,10.1,1.1,0,19.9
J.J. Redick,SG,34,76,0.44,0.397,0.894,2.8,3.1,0.5,0.3,20.8
J.P. Macura,SG,23,77,0.333,0,,6.4,4.2,0,0,12.7
J.R. Smith,SG,33,78,0.342,0.308,0.8,2.9,3.4,1.8,0.5,12
Jabari Parker,PF,23,80,0.493,0.313,0.712,8.8,3.2,1,0.6,19.4
Jacob Evans,SG,21,78,0.34,0.267,0,4.4,4.1,0.9,0.5,7.1
Jae Crowder,SF,28,78,0.399,0.331,0.721,6.4,2.2,1.1,0.5,15.8
Jahlil Okafor,C,23,83,0.586,0.2,0.663,10.7,1.5,0.6,1.5,18.6
JaKarr Sampson,SF,25,78,0.537,0.357,0.81,9.1,1.1,1.1,0.9,22.7
Jake Layman,SF,24,81,0.509,0.326,0.704,5.9,1.4,0.8,0.8,14.7
Jakob Pöltl,C,23,84,0.645,0,0.533,11.6,2.6,0.8,1.9,12
Jalen Brunson,PG,22,75,0.467,0.348,0.725,3.8,5.2,0.8,0.1,15.3
Jalen Jones,SF,25,79,0.419,0.357,0.704,5.7,1.2,1.5,0.3,13.6
Jamal Crawford,SG,38,77,0.397,0.332,0.845,2.5,6.8,1,0.4,15.1
Jamal Murray,PG,21,76,0.437,0.367,0.848,4.7,5.3,1,0.4,20.1
James Ennis,SF,28,79,0.469,0.353,0.716,5.3,1.2,1.2,0.7,11.4
James Harden,PG,29,77,0.442,0.368,0.879,6.5,7.4,2,0.7,35.4
James Johnson,PF,31,80,0.433,0.336,0.714,5.4,4.2,1.1,0.8,13.2
James Nunnally,SF,28,79,0.353,0.32,1,1.8,2.5,0.4,0,12.7
JaMychal Green,PF,28,81,0.483,0.403,0.792,10.7,1.3,1.2,0.9,16
Jared Dudley,PF,33,79,0.423,0.351,0.696,4.6,2.4,1.1,0.5,8.5
Jared Terrell,SG,23,75,0.308,0.235,0.5,1.9,3.9,1,0.6,10.1
Jarell Martin,PF,24,82,0.413,0.351,0.818,8,2,0.3,0.9,12.6
Jaren Jackson,PF,19,83,0.506,0.359,0.766,6.5,1.5,1.2,1.9,19
Jaron Blossomgame,SF,25,80,0.443,0.256,0.769,8,1.1,0.6,0.7,9.3
Jarred Vanderbilt,PF,19,81,0.474,0,0.6,12,1.6,3.1,0.5,12.5
Jarrett Allen,C,20,83,0.59,0.133,0.709,11.5,1.9,0.7,2.1,15
JaVale McGee,C,31,84,0.624,0.083,0.632,12.2,1.1,1,3.2,19.3
Jawun Evans,PG,22,72,0.214,0,,6.6,5.5,1.7,0,3.3
Jaylen Adams,PG,22,74,0.345,0.338,0.778,5,5.5,1.2,0.4,9.1
Jaylen Brown,SG,22,79,0.465,0.344,0.658,5.9,1.9,1.3,0.6,18.1
Jaylen Morris,SG,23,77,0.4,0.333,0.5,6.2,5,2.5,0,12.4
Jayson Tatum,SF,20,80,0.45,0.373,0.855,7,2.5,1.2,0.8,18.2
Jeff Green,PF,32,81,0.475,0.347,0.888,5.3,2.4,0.7,0.7,16.2
Jeff Teague,PG,30,74,0.423,0.333,0.804,3,9.8,1.2,0.5,14.5
Jemerrio Jones,SF,23,77,0.364,0.2,0.5,12.3,3.3,1.8,1.3,6.8
Jerami Grant,PF,24,81,0.497,0.392,0.71,5.7,1.1,0.8,1.4,15
Jeremy Lamb,SG,26,77,0.44,0.348,0.888,6.9,2.8,1.4,0.5,19.3
Jeremy Lin,PG,30,75,0.44,0.294,0.838,4.5,5.8,1.2,0.3,17.7
Jerian Grant,PG,26,76,0.418,0.364,0.65,3.8,6,1.7,0.2,9.6
Jerome Robinson,SG,21,77,0.4,0.316,0.667,4.6,2.1,1.2,0.3,12.6
Jerryd Bayless,PG,30,75,0.357,0.296,0.571,3.4,6.5,1,0.1,11.5
Jevon Carter,PG,23,74,0.303,0.333,0.813,4.1,4.3,1.6,0.7,10.7
Jimmer Fredette,SG,29,74,0.276,0,1,3.9,4.4,1.7,0,12.2
Jimmy Butler,SF-SG,29,82,0.462,0.347,0.855,5.6,4.3,2,0.6,20
Joakim Noah,C,33,83,0.516,0,0.716,12.4,4.6,1,1.6,15.5
Jodie Meeks,SG,31,76,0.538,0.444,1,4.2,2.8,0.3,0.3,17.7
Joe Chealey,PG,23,75,0.333,0,,0,4.5,0,0,9
Joe Harris,SG,27,78,0.5,0.474,0.827,4.6,2.8,0.6,0.3,16.3
Joe Ingles,PF,31,80,0.448,0.391,0.707,4.6,6.6,1.4,0.3,13.9
Joel Embiid,C,24,84,0.484,0.3,0.804,14.6,3.9,0.8,2,29.4
John Collins,PF,21,82,0.56,0.348,0.763,11.7,2.4,0.4,0.8,23.4
John Henson,C,28,83,0.463,0.355,0.6,13.6,2.7,1.3,2.1,15.1
John Holland,SF,30,77,,0,,0,0,0,0,0
John Jenkins,SG,27,76,0.4,0.379,0.833,4,2.4,0,0.2,13.1
John Wall,PG,28,76,0.444,0.302,0.697,3.8,9.1,1.6,0.9,21.6
Johnathan Motley,PF,23,82,0.534,0,0.6,11.8,2.5,1.2,0.7,23.5
Johnathan Williams,C,23,81,0.591,0,0.563,9.6,1.3,0.8,0.7,15.2
Jon Leuer,PF,29,82,0.584,0.091,0.742,8.7,1.3,1.1,0.4,14
Jonah Bolden,PF,23,82,0.494,0.354,0.481,9.3,2.3,1,2.2,11.7
Jonas Jerebko,PF,31,82,0.459,0.367,0.8,8.5,2.8,0.8,0.5,13.6
Jonas Valan?i?nas,C,26,84,0.559,0.292,0.795,13.8,2.3,0.6,1.7,25.2
Jonathan Isaac,PF,21,82,0.429,0.323,0.815,7.4,1.4,1.1,1.8,13
Jonathon Simmons,SG-SF,29,78,0.38,0.269,0.742,4.3,4.3,1,0.5,12.4
Jordan Bell,C,24,81,0.516,0,0.61,8.4,3.5,0.9,2.3,10.2
Jordan Clarkson,SG,26,77,0.448,0.324,0.844,4.4,3.2,0.9,0.2,22.2
Jordan Loyd,PG,25,76,0.444,0.5,0.818,5.9,3.9,0,0,19
Jordan McRae,SG,27,77,0.469,0.286,0.8,4.3,3.2,1.4,0.8,17.3
Jordan Sibert,SG,26,76,1,1,,0,0,0,0,27
José Calderón,PG,37,75,0.375,0.246,0.818,3.4,6.6,0.9,0.2,6.4
Josh Hart,SG,23,77,0.407,0.336,0.688,5.2,2,1.3,0.8,11
Josh Jackson,SG,21,80,0.413,0.324,0.671,6.3,3.3,1.3,1,16.5
Josh Okogie,SG,20,76,0.386,0.279,0.728,4.5,1.9,1.8,0.7,11.7
Josh Richardson,SG,25,78,0.412,0.357,0.861,3.7,4.2,1.1,0.5,17.1
Jrue Holiday,SG,28,76,0.472,0.325,0.768,5,7.8,1.6,0.8,21.3
Juan Hernangómez,PF,23,81,0.439,0.365,0.767,7,1.5,0.7,0.6,10.8
Julian Washburn,SF,27,80,0.333,0.208,0.75,5.8,2,1.8,0.3,5.7
Julius Randle,PF,24,81,0.524,0.344,0.731,10.2,3.7,0.8,0.7,25.2
Justin Anderson,SF,25,78,0.408,0.312,0.743,6.5,1.8,1.7,1,13.8
Justin Holiday,SG,29,78,0.386,0.348,0.896,4.5,2,1.7,0.5,11.8
Justin Jackson,SF,23,80,0.447,0.355,0.785,4.7,2.1,0.7,0.3,13
Justin Patton,C,21,84,0.286,0,0.5,10.3,5.1,3.4,0,8.6
Justise Winslow,SF,22,79,0.433,0.375,0.628,6.5,5.2,1.3,0.3,15.3
Jusuf Nurki?,C,24,84,0.508,0.103,0.773,13.6,4.2,1.3,1.9,20.5
Kadeem Allen,SG,26,75,0.461,0.472,0.778,4.4,6.6,1.4,0.3,16.4
Kalin Lucas,PG,29,73,0,0,1,18,6,0,0,12
Karl-Anthony Towns,C,23,84,0.518,0.4,0.836,13.5,3.7,0.9,1.8,26.6
Kawhi Leonard,SF,27,79,0.496,0.371,0.854,7.7,3.5,1.9,0.4,28.2
Keita Bates-Diop,SF,23,81,0.423,0.25,0.643,5.9,1.2,1.3,1,10.8
Kelly Olynyk,PF,27,84,0.463,0.354,0.822,7.5,2.8,1.1,0.7,15.6
Kelly Oubre,SF,23,79,0.445,0.32,0.775,6,1.6,1.6,1.1,19.5
Kemba Walker,PG,28,73,0.434,0.356,0.844,4.5,6.1,1.3,0.4,26.4
Kenneth Faried,C,29,80,0.589,0.32,0.646,12.4,1,0.8,1.1,19
Kenrich Williams,SF,24,79,0.384,0.333,0.684,7.3,2.8,1.5,0.6,9.3
Kent Bazemore,SG,29,77,0.402,0.32,0.726,5.7,3.3,2,0.9,17.1
Kentavious Caldwell-Pope,SG,25,77,0.43,0.347,0.867,4.2,1.9,1.3,0.2,16.6
